id,keiei-pos,keiei-neu,keiei-neg,risk-pos,risk-neu,risk-neg,money-pos,money-neu,money-neg,contract-pos,contract-neu,contract-neg,reserch-pos,reserch-neu,reserch-neg
22,0.04,0.95,0.01,0.05,0.94,0.01,0.03,0.96,0.01,0.21,0.67,0.12,0.21,0.67,0.12
23,0.06,0.93,0.01,0.06,0.93,0.01,0.02,0.97,0.01,0.21,0.67,0.12,0.04,0.95,0.01
24,0.08,0.9,0.02,0.04,0.96,0.0,0.03,0.96,0.01,0.21,0.67,0.12,0.1,0.89,0.01
25,0.02,0.98,0.0,0.05,0.94,0.01,0.01,0.99,0.0,0.2,0.71,0.09,0.21,0.67,0.12
26,0.05,0.94,0.01,0.06,0.93,0.01,0.03,0.96,0.01,0.0,1.0,0.0,0.04,0.96,0.0
27,0.05,0.94,0.01,0.06,0.93,0.01,0.04,0.95,0.01,0.05,0.94,0.01,0.05,0.94,0.01
28,0.04,0.96,0.0,0.03,0.96,0.01,0.04,0.95,0.01,0.02,0.98,0.0,0.03,0.97,0.0
29,0.05,0.95,0.0,0.04,0.96,0.0,0.01,0.99,0.0,0.05,0.94,0.01,0.05,0.95,0.0
30,0.06,0.93,0.01,0.04,0.95,0.01,0.03,0.96,0.01,0.02,0.97,0.01,0.21,0.67,0.12
31,0.05,0.94,0.01,0.05,0.94,0.01,0.04,0.95,0.01,0.2,0.71,0.09,0.21,0.67,0.12
32,0.06,0.93,0.01,0.07,0.92,0.01,0.03,0.97,0.0,0.2,0.71,0.09,0.02,0.98,0.0
33,0.02,0.97,0.01,0.04,0.95,0.01,0.05,0.94,0.01,0.21,0.67,0.12,0.21,0.67,0.12
34,0.04,0.95,0.01,0.05,0.94,0.01,0.01,0.99,0.0,0.12,0.84,0.04,0.07,0.91,0.02
35,0.03,0.97,0.0,0.04,0.95,0.01,0.02,0.97,0.01,0.12,0.84,0.04,0.21,0.67,0.12
36,0.01,0.99,0.0,0.03,0.97,0.0,0.01,0.99,0.0,0.12,0.84,0.04,0.08,0.91,0.01
37,0.05,0.94,0.01,0.08,0.91,0.01,0.03,0.97,0.0,0.01,0.98,0.01,0.12,0.87,0.01
38,0.06,0.93,0.01,0.03,0.96,0.01,0.04,0.95,0.01,0.21,0.67,0.12,0.04,0.95,0.01
39,0.02,0.97,0.01,0.06,0.93,0.01,0.03,0.96,0.01,0.21,0.67,0.12,0.21,0.67,0.12
40,0.03,0.97,0.0,0.01,0.99,0.0,0.02,0.98,0.0,0.03,0.95,0.02,0.04,0.95,0.01
41,0.05,0.94,0.01,0.06,0.93,0.01,0.02,0.98,0.0,0.11,0.86,0.03,0.07,0.92,0.01
42,0.02,0.98,0.0,0.07,0.92,0.01,0.03,0.97,0.0,0.01,0.95,0.04,0.01,0.99,0.0
43,0.06,0.93,0.01,0.08,0.91,0.01,0.04,0.96,0.0,0.01,0.99,0.0,0.04,0.95,0.01
44,0.02,0.97,0.01,0.0,0.99,0.01,0.02,0.97,0.01,0.02,0.97,0.01,0.1,0.88,0.02
45,0.65,0.31,0.04,0.07,0.91,0.02,0.04,0.93,0.03,0.0,0.98,0.02,0.07,0.92,0.01
46,0.03,0.95,0.02,0.04,0.96,0.0,0.03,0.96,0.01,0.08,0.9,0.02,0.04,0.96,0.0
47,0.03,0.97,0.0,0.05,0.94,0.01,0.03,0.97,0.0,0.02,0.97,0.01,0.03,0.96,0.01
48,0.04,0.95,0.01,0.05,0.95,0.0,0.05,0.93,0.02,0.2,0.71,0.09,0.21,0.67,0.12
49,0.07,0.9,0.03,0.03,0.96,0.01,0.03,0.97,0.0,0.21,0.67,0.12,0.21,0.67,0.12
50,0.01,0.98,0.01,0.0,0.99,0.01,0.0,0.99,0.01,0.0,1.0,0.0,0.01,0.99,0.0
51,0.04,0.96,0.0,0.02,0.98,0.0,0.02,0.98,0.0,0.09,0.89,0.02,0.02,0.98,0.0
52,0.08,0.91,0.01,0.05,0.95,0.0,0.06,0.93,0.01,0.01,0.99,0.0,0.03,0.96,0.01
53,0.1,0.86,0.04,0.05,0.94,0.01,0.04,0.95,0.01,0.21,0.67,0.12,0.02,0.98,0.0
54,0.05,0.94,0.01,0.04,0.96,0.0,0.02,0.98,0.0,0.01,0.98,0.01,0.03,0.96,0.01
55,0.07,0.92,0.01,0.05,0.95,0.0,0.01,0.99,0.0,0.02,0.98,0.0,0.03,0.96,0.01
56,0.04,0.96,0.0,0.07,0.92,0.01,0.06,0.93,0.01,0.12,0.84,0.04,0.21,0.67,0.12
57,0.5,0.44,0.06,0.03,0.97,0.0,0.02,0.97,0.01,0.09,0.9,0.01,0.07,0.93,0.0
58,0.01,0.97,0.02,0.03,0.96,0.01,0.01,0.91,0.08,0.01,0.98,0.01,0.63,0.31,0.06
59,0.06,0.93,0.01,0.07,0.92,0.01,0.03,0.96,0.01,0.01,0.99,0.0,0.02,0.98,0.0
60,0.1,0.88,0.02,0.02,0.98,0.0,0.03,0.96,0.01,0.02,0.98,0.0,0.05,0.93,0.02
61,0.08,0.91,0.01,0.05,0.94,0.01,0.07,0.92,0.01,0.2,0.71,0.09,0.21,0.67,0.12
62,0.08,0.91,0.01,0.06,0.93,0.01,0.03,0.97,0.0,0.21,0.67,0.12,0.31,0.58,0.11
63,0.03,0.97,0.0,0.03,0.97,0.0,0.03,0.97,0.0,0.07,0.9,0.03,0.02,0.97,0.01
