id,年,月,17業種コード,33業種コード,規模コード,売上高,収益,経常利益,営業利益,当期純利益,税引前利益,包括利益,純資産額,総資産額,現金及び現金同等物の期末残高,従業員数,最低株価,最高株価,株主総利回り,株主資本比率,株価収益率,発行済株式総数,自己資本利益率,自己資本比率,財務活動によるキャッシュ・フロー,営業活動によるキャッシュ・フロー,投資活動によるキャッシュ・フロー,基本的1株当たり当期利益,基本的1株当たり親会社の所有者に帰属する当期利益,希薄化後１株当たり当期利益,希薄化後１株当たり当社株主に帰属する当期純利益,１株当たり当期純利益,１株当たり当社株主に帰属する当期純利益,１株当たり株主資本,１株当たり潜在株式調整後当期純利益金額,１株当たり純資産額,１株当たり親会社所有者帰属持分,１株当たり配当額親会社の所有者に帰属する当期利益,親会社の所有者に帰属する当期包括利益,親会社の所有者に帰属する持分,親会社所有者帰属持分当期利益率,親会社所有者帰属持分比率,親会社株主に帰属する当期純利益,資本金,配当性向
105,2016,3,6,3700,4,2267849.0,,141027.0,,,,32482.0,685337.0,1433725.0,462440.0,29555.0,,,11.42,,,,10.92,46.81,-122917.0,197691.0,17169.0,,,,,73.8,,,,,,,,,,,,,
105,2017,3,6,3700,4,1906632.0,,8944.0,,,,-204740.0,703463.0,1484413.0,555906.0,29604.0,,,,,,,-29.16,46.51,210377.0,-45829.0,-73119.0,,,,,-164.11,,,,,,,,,,,,,
105,2018,3,6,3700,4,2192389.0,,110127.0,,,,110713.0,796562.0,1646240.0,559036.0,30507.0,,,10.54,,,,14.63,47.44,-23161.0,119624.0,-97093.0,,,,,72.23,,,,,,,,,,,,,
105,2019,3,6,3700,4,2514594.0,,119850.0,,,,131381.0,881203.0,2010309.0,489456.0,31314.0,,,6.59,,,,16.08,43.37,-74966.0,146053.0,-144906.0,,,,,89.26,,,,,,,,,,,,,
106,2018,3,8,3600,2,4085679.0,,,,,39232.0,59607.0,,5248756.0,299237.0,80652.0,,,,,,,,,-112334.0,405752.0,-238193.0,,-21.79,,-21.8,,,,,,4153.46,,33006.0,1395537.0,-0.52,26.59,,,
106,2019,3,8,3600,2,4078344.0,,,,,182624.0,103216.0,,5142723.0,283235.0,80744.0,,,15.23,,,,,,-255577.0,404924.0,-161869.0,,301.95,,301.44,,,,,,4262.24,,76624.0,1430878.0,7.17,27.82,,,
107,2018,3,9,3650,2,4444424.0,,,,,353206.0,294710.0,,4305580.0,599199.0,142340.0,,,14.3,,,,,,-149813.0,265768.0,-182015.0,,119.19,,119.19,,,,,,1069.19,,294710.0,2294174.0,11.7,53.3,,2397219.0,
107,2019,3,9,3650,2,4519921.0,,,,,315958.0,189306.0,,4356211.0,514224.0,145817.0,,,13.5,,,,,,-112067.0,239817.0,-210668.0,,105.65,,105.65,,,,,,1118.83,,189306.0,2399946.0,9.7,55.1,,2511155.0,
108,2015,12,5,3250,2,498839.0,,,,62353.0,87276.0,57476.0,,787401.0,101707.0,7169.0,,,37.86,,,,,,-28467.0,62918.0,-45269.0,112.0,,111.79,,,,,,,1146.17,,56380.0,,10.0,79.5,,627271.0,
108,2016,12,5,3250,2,491780.0,,,,54372.0,74448.0,51073.0,,806285.0,95368.0,7245.0,,,34.19,,,,,,-33415.0,38787.0,-10107.0,98.12,,97.97,,,,,,,1181.67,,50393.0,,8.4,80.1,,646497.0,
108,2017,12,5,3250,2,534199.0,,,,73541.0,97031.0,76081.0,,852473.0,139074.0,7372.0,,,43.37,,,,,,-29563.0,107623.0,-36718.0,133.04,,132.83,,,,,,,1265.46,,75154.0,,10.9,81.2,,692897.0,
108,2018,12,5,3250,2,579787.0,,,,93079.0,121449.0,87587.0,,919548.0,146860.0,7432.0,,,37.73,,,,,,-35014.0,119074.0,-74060.0,169.08,,168.8,,,,,,,1381.26,,87078.0,,12.8,82.2,,756529.0,
108,2019,12,5,3250,2,686184.0,,,,157560.0,207893.0,155127.0,,1058915.0,203941.0,7394.0,,,35.02,,,,,,-66872.0,206641.0,-81741.0,287.84,,287.43,,,,,,,1559.72,,155127.0,,19.6,80.6,,853985.0,
109,2015,3,11,4050,2,,,60206.0,3103603.0,,,75693.0,1507508.0,5631311.0,390088.0,30848.0,,,28.0,,,,2.7,26.1,-344088.0,476845.0,-282781.0,,,,,51.21,,,,1939.59,,,,,,,,,
109,2016,3,11,4050,2,,,255610.0,2854044.0,,,144929.0,1637109.0,5538216.0,324390.0,30659.0,,,7.01,,,,11.1,28.9,-312120.0,562411.0,-307995.0,,,,,224.15,,,,2112.8,,,,,,,,,
109,2017,3,11,4050,2,,,121483.0,2603537.0,,,111140.0,1724713.0,5411487.0,293953.0,30635.0,,,9.85,,,,7.0,31.1,21069.0,335063.0,-360232.0,,,,,151.43,,,,2225.66,,,,,,,,,
109,2018,3,11,4050,2,,,128532.0,2853309.0,,,71523.0,1791942.0,5529408.0,284888.0,30554.0,,,15.3,,,,4.4,31.3,-88670.0,424159.0,-344467.0,,,,,98.24,,,,2285.87,,,,,,,,,
109,2019,3,11,4050,2,,,112929.0,3035082.0,,,84509.0,1844362.0,5987526.0,550060.0,30321.0,,,16.47,,,,4.5,29.7,337260.0,296406.0,-368361.0,,,,,104.96,,,,2350.52,,,,,,,,,
110,2015,3,13,6050,2,,7834295.0,,,,124614.0,194838.0,,7673064.0,469106.0,38830.0,,,11.44,,,,,,-70705.0,170943.0,-331411.0,,60.85,,60.85,,,,,,875.04,,194838.0,1518515.0,7.28,19.79,,1678713.0,
110,2016,3,13,6050,2,,7300299.0,,,,90559.0,-144593.0,,7117686.0,600840.0,39914.0,,,15.89,,,,,,-36268.0,359132.0,-174596.0,,35.88,,35.88,,,,,,758.95,,-144593.0,1317052.0,4.39,18.5,,1415202.0,
110,2017,3,13,6050,2,,7128805.0,,,,200271.0,153449.0,,6896733.0,704972.0,39952.0,,,7.78,,,,,,-258123.0,324263.0,46504.0,,88.08,,88.06,,,,,,829.49,,153449.0,1683723.0,11.09,24.41,,1742758.0,
110,2018,3,13,6050,2,,7540337.0,,,,255004.0,145671.0,,6877117.0,625834.0,41353.0,,,6.45,,,,,,-269507.0,253423.0,-49742.0,,119.43,,119.37,,,,,,879.86,,145671.0,1771475.0,13.97,25.76,,1835637.0,
110,2019,3,13,6050,2,,7401256.0,,,,288819.0,270904.0,,6809077.0,509288.0,42882.0,,,5.85,,,,,,-427420.0,284895.0,22528.0,,130.74,,130.62,,,,,,998.47,,270904.0,1977741.0,13.92,29.05,,2071726.0,
111,2018,3,9,3650,2,1577039.0,,,,,129992.0,43131.0,,3128813.0,424938.0,75940.0,,,27.9,,,,,,-51572.0,158905.0,-53128.0,,215.22,,215.2,,,,,,6325.11,,43131.0,2325791.0,3.4,74.3,,,
111,2019,3,9,3650,2,1623710.0,,,,,140610.0,21514.0,,2968475.0,512814.0,76863.0,,,22.81,,,,,,-89056.0,220025.0,-47121.0,,284.94,,284.7,,,,,,6263.71,,21514.0,2265919.0,4.5,76.3,,,
112,2015,3,12,5050,4,,249016.0,37169.0,,,,29731.0,267622.0,782257.0,25007.0,8596.0,,,19.68,,,,10.3,33.4,-22294.0,48223.0,-27606.0,,,,,,,,,,,,,,,,,,
112,2016,3,12,5050,4,,251204.0,42572.0,,,,30907.0,296374.0,781280.0,31471.0,8611.0,,,17.29,,,,11.3,36.8,-19922.0,45759.0,-19372.0,,,,,,,,,,,,,,,,,,
112,2017,3,12,5050,4,,245837.0,47064.0,,,,38438.0,332344.0,795447.0,23294.0,8840.0,,,12.24,,,,11.7,40.5,-31787.0,45133.0,-21535.0,,,,,,,,,,,,,,,,,,
